name,timestamp,x,y,z,vx,vy,vz
ISS (ZARYA),2025-03-18T16:36:11Z,-5797.145286189302,-3503.4202866186165,582.9889770854855,2.012938561708872,-4.344402508780962,-5.978658439229949
CSS (TIANHE),2025-03-18T16:36:11Z,4065.9235440755688,-3248.8701831756307,4304.307545016732,5.546547209169397,5.148477840404702,-1.3440675068444723
ISS (NAUKA),2025-03-18T16:36:11Z,-5797.140656425654,-3503.430278728349,582.9752261829631,2.0129554981924875,-4.34439227343874,-5.978660147178851
FREGAT DEB,2025-03-18T16:36:11Z,1765.9021469553336,-6766.296112694194,1963.5945886810487,4.48126130499604,2.5659172339517675,5.735140372611221
CSS (WENTIAN),2025-03-18T16:36:11Z,4052.764094736906,-3261.998897466365,4308.1547294302945,5.559027499755318,5.137323123048101,-1.329983324836448
CSS (MENGTIAN),2025-03-18T16:36:11Z,4052.764094736906,-3261.998897466365,4308.1547294302945,5.559027499755318,5.137323123048101,-1.329983324836448
CYGNUS NG-21,2025-03-18T16:36:11Z,-5797.1285383382055,-3503.4564318779317,582.9392346716422,2.012999827532755,-4.344365483405191,-5.9786646173586675
SOYUZ-MS 26,2025-03-18T16:36:11Z,-5797.1285383382055,-3503.4564318779317,582.9392346716422,2.012999827532755,-4.344365483405191,-5.9786646173586675
CREW DRAGON 9,2025-03-18T16:36:11Z,-5797.1285383382055,-3503.4564318779317,582.9392346716422,2.012999827532755,-4.344365483405191,-5.9786646173586675
SHENZHOU-19 (SZ-19),2025-03-18T16:36:11Z,4052.764094736906,-3261.998897466365,4308.1547294302945,5.559027499755318,5.137323123048101,-1.329983324836448
TIANZHOU-8,2025-03-18T16:36:11Z,4052.764094736906,-3261.998897466365,4308.1547294302945,5.559027499755318,5.137323123048101,-1.329983324836448
PROGRESS-MS 29,2025-03-18T16:36:11Z,-5797.112104013968,-3503.4918991139966,582.8904248780093,2.0130599444487154,-4.344329151884888,-5.978670679134861
1998-067XC,2025-03-18T16:36:11Z,-6262.646816535526,-1032.1934524864862,2096.8305225194663,-1.0008738654837532,-5.276545263818575,-5.554136088310297
YOMOGI,2025-03-18T16:36:11Z,2253.9175315632983,-3516.627402304315,-5224.034791270751,6.823518935934881,3.552413407166285,0.5536969893005922
ISS DEB,2025-03-18T16:36:11Z,6226.741979723195,1138.1562822017945,-2214.471939783362,0.9721768744499266,5.323840737756953,5.491481062063678
PROGRESS-MS 30,2025-03-18T16:36:11Z,-5797.112104013968,-3503.4918991139966,582.8904248780093,2.0130599444487154,-4.344329151884888,-5.978670679134861
CREW DRAGON 10,2025-03-18T16:36:11Z,-5797.112104013968,-3503.4918991139966,582.8904248780093,2.0130599444487154,-4.344329151884888,-5.978670679134861
